article_incident_title,incday,incmo,incyr,province_psgc,municipality_psgc,city_psgc,actors_affiliation1,actors_effect1,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,actors_count_number,inc_cat
"Motornapping in Brgy. Rosary Heights 9, Cotabato City ",6,5,2017,-99,-99,129804000,16,-98,921,8012,124.2390463,7.194792729,2,8
"Motornapping in Brgy. Rosary Heights, Cotabato City ",24,4,2017,-99,-99,129804000,16,-98,921,8012,124.2398944,7.210204811,2,8
"Motornapping in Brgy. San Raymundo, Jolo, Sulu",16,10,2016,156600000,156602000,-99,16,-98,921,8012,121.0065568,6.049431842,2,8
"Motornapping in Brgy. San Raymundo, Jolo, Sulu",17,12,2015,156600000,156602000,-99,16,-98,921,1007,121.0065568,6.049431842,2,1
"Motornapping in Brgy. San Raymundo, Jolo, Sulu",19,12,2015,156600000,156602000,-99,24,-98,921,1007,121.0065568,6.049431842,1,1
"Motornapping in Brgy. San Raymundo, Jolo, Sulu",18,3,2017,156600000,156602000,-99,16,-98,921,8012,121.0065568,6.049431842,2,8
"Motornapping in Brgy. Saniag, Ampatuan, Maguindanao",1,11,2016,153800000,153801000,-99,16,-98,921,8012,124.4259251,6.775602251,2,8
"Motornapping in Brgy. Sapakan (Pob.), Rajah Buayan, Maguindanao",6,2,2017,153800000,153829000,-99,16,-98,921,8012,124.5494763,6.902050668,2,8
"Motornapping in Brgy. Sumagdang, Isabela City ",11,3,2017,-99,-99,99701000,16,-98,921,8012,121.954302,6.689211485,2,8
"Motornapping in Brgy. Tabiawan, Isabela City",8,3,2016,-99,-99,99701000,31,-98,921,8012,121.9976906,6.716893321,2,8
"Motornapping in Brgy. Talisawa, Datu Abdullah Sangki, Maguindanao",1,7,2015,153800000,153828000,-99,16,-98,921,1007,124.4802988,6.756185994,2,1
"Motornapping in Brgy. Talisawa, Datu Abdullah Sangki, Maguindanao",6,2,2017,153800000,153828000,-99,16,-98,921,8012,124.4802988,6.756185994,2,8
"Motornapping in Brgy. Tamontaka, Cotabato City ",21,12,2016,-99,-99,129804000,16,-98,921,8012,124.2266633,7.186595066,2,8
"Motornapping in Brgy. Tukanolocong, Datu Abdullah Sangki, Maguindanao",11,5,2015,153800000,153828000,-99,16,-98,921,1007,124.5607317,6.812558191,2,1
"Motornapping in Brgy. Tulay, Jolo, Sulu",7,11,2016,156600000,156602000,-99,16,-98,921,8012,120.9956411,6.051182294,2,8
"Motornapping in Brgy. Walled City, Jolo, Sulu",22,8,2016,156600000,156602000,-99,16,-98,921,8012,121.0007814,6.05388418,2,8
"Motornapping in Brgy. Walled City, Jolo, Sulu",5,10,2016,156600000,156602000,-99,16,-98,921,8012,121.0007814,6.05388418,2,8
"Motornapping in Brgy. Walled City, Jolo, Sulu",26,11,2016,156600000,156602000,-99,16,-98,921,8012,121.0007814,6.05388418,2,8
"Motornapping in Brgy. Walled City, Jolo, Sulu",15,12,2015,156600000,156602000,-99,16,-98,921,8012,121.0007814,6.05388418,2,8
"Motornapping in Brgy. Walled City, Jolo, Sulu",24,1,2017,156600000,156602000,-99,16,-98,921,8012,121.0007814,6.05388418,2,8
"Motornapping in Dennis Coffee Shop in Asturias, Jolo, Sulu",17,12,2015,156600000,156602000,-99,16,-98,921,8012,121.0005716,6.046310178,2,8
"Motornapping in Moore Ave., Brgy. Alat, Jolo, Sulu",24,1,2017,156600000,156602000,-99,24,-98,921,8012,120.9971111,6.047975815,2,8
"Motornapping in Peso Peso Store in Brgy. San Raymundo, Jolo, Sulu",23,12,2015,156600000,156602000,-99,16,-98,921,8012,121.0065568,6.049431842,2,8
"Motornapping in Purok Sampalok, Brgy. Bagua, Cotabato City",11,8,2014,-99,-99,129804000,16,-98,921,1007,124.2416605,7.225171479,1,1
"Motornapping in Quezon Avenue, Brgy. Poblacion 1, Cotabato City ",26,4,2017,-99,-99,129804000,16,-98,921,8012,124.2581802,7.224162163,2,8
"Motornapping near Biruar Apartment, Mabini St., Brgy. Bagua 3, Cotabato City ",13,4,2017,-99,-99,129804000,16,-98,921,8012,124.2424039,7.222615835,2,8
"MPPO lawyer, injured in ambush (Abogado sa MPPO angol sa ambush)",21,2,2020,-99,-99,129804000,30,4,2031,2014,124.2301547,7.205593593,5,2
"Multiple attempted murder in Brgy. Bungkaung, Patikul, Sulu",22,9,2015,156600000,156611000,-99,2,-98,9999,5008,121.0507561,6.025493583,6,5
"Multiple attempted murder in Brgy. Latih, Patikul, Sulu",20,1,2016,156600000,156611000,-99,2,4,929,5009,121.0333653,6.038444204,10,5
"Multiple frustrated homicide in Brgy. Bukid, Parang, Sulu",12,7,2015,156600000,156609000,-99,16,4,902,-98,120.9542615,5.935566363,8,9
"Multiple frustrated murder (shooting) in Gandasuli, Patikul, Sulu",11,5,2015,156600000,156611000,-99,16,4,2031,-98,121.0254251,6.055536282,4,9
"Multiple frustrated murder in Brgy. Buhanginan, Patikul, Sulu",6,2,2015,156600000,156611000,-99,2,4,927,5008,121.0911072,6.080692477,117,5
"Multiple frustrated murder in Brgy. Lawi-lawi, Lantawan, Basilan",8,8,2015,150700000,150703000,-99,16,4,9999,-98,121.8093897,6.596622723,5,9
"Multiple frustrated murder in Brgy. Matatal, Maimbung, Sulu",1,1,2016,156600000,156605000,-99,24,4,929,-98,121.0124922,5.966588429,4,9
"Multiple frustrated murder in Brgy. Saimbangon, Pata, Sulu",2,1,2016,156600000,156610000,-99,16,4,927,-98,121.147718,5.819149557,8,9
"Multiple frustrated murder in Brgy. Taglibi, Patikul, Sulu",5,2,2015,156600000,156611000,-99,2,4,927,5008,121.1165229,6.084115221,20,5
"Multiple murder and malicious mischief in Brgy. Madaya, Lumbatan, Lanao del Sur",24,6,2015,153600000,153612000,-99,24,4,2031,1003,124.2457977,7.741835548,3,1
"Multiple murder and multiple frustrated murder in Brgy. Upper Cabengbeng, Sumisip, Basilan",8,8,2012,150700000,150705000,-99,16,2,901,-98,122.0706968,6.485059486,8,9
"Multiple murder in Brgy. Bus-Bus, Jolo, Sulu",1,12,2015,156600000,156602000,-99,1,2,901,5008,121.0080767,6.058947101,1,5
"Multiple murder, frustrated murder and attempted murders (shooting) in Brgy. Park Area, Wao, Lanao del Sur",25,4,2015,153600000,153630000,-99,16,6,2031,3006,124.6771485,7.695580328,19,3
"Multiple murder, multiple frustrated murder and multiple attempted murders (shooting) in Brgy. Beta, Lumbaca-Unayan, Lanao del Sur ",19,4,2015,153600000,153641000,-99,29,6,905,3006,124.2147386,7.741517067,20,3
Municipal councilor arrested in drug raid (Municipal councilor sikpaw sa drug raid),1,4,2017,153800000,153831000,-99,31,2,2036,8004,124.3409506,6.990935983,4,8
"Murder (beheading) in Brgy. Tumahubong, Sumisip, Basilan ",5,7,2017,150700000,150705000,-99,16,6,901,5017,122.0558241,6.510540823,2,5
"Murder (found cadaver) and rape in Brgy. Poblacion, Ampatuan, Maguindanao",3,6,2016,153800000,153801000,-99,24,6,908,3001,124.4668092,6.834806848,2,3
"Murder (found cadaver) in Brgy. Panang, Wao, Lanao del Sur ",24,6,2017,153600000,153630000,-99,16,6,901,-98,124.7329467,7.698893661,2,9
"Murder (found cadaver) in Lake Lanao, Brgy. Daguduban, Marawi City Lanao del Sur",19,1,2015,153600000,-99,153617000,16,6,901,-98,124.2970072,8.004547251,2,9
"Murder (found cadaver) in Sitio Pamukalem, Brgy. Tuburan Proper,  Hadji Mohammad Ajul, Basilan",4,2,2017,150700000,150710000,-99,-98,6,901,-98,122.275064,6.636416236,3,9
"Murder (hacking) in Brgy. Lower Tablas,  Tuburan, Basilan",12,4,2015,150700000,150707000,-99,24,6,906,-98,122.1783714,6.599789861,2,9
"Murder (hacking) in Brgy. Sapot, Buadiposo-Buntong, Lanao del Sur",15,9,2015,153600000,153633000,-99,-98,6,906,-98,124.3764938,7.944358868,2,9
"Murder (shooting) in Brgy. Amito Marantao, Marawi City, Lanao del Sur",15,2,2015,153600000,-99,153617000,-98,6,2031,3006,124.2758451,7.983102189,4,3
"Murder (Shooting) in Brgy. Balagtasan, Lamitan City, Basilan",26,4,2015,150700000,-99,150702000,16,6,2031,-98,122.0481108,6.701627505,2,9
"Murder (shooting) in Brgy. Banago, Balabagan, Lanao del Sur",5,4,2015,153600000,153602000,-99,16,6,2031,-98,124.1275055,7.510365289,2,9
"Murder (shooting) in Brgy. Bara-as, Picong, Lanao del Sur",1,4,2015,153600000,153635000,-99,16,6,901,-98,124.0358864,7.686086323,1,9
"Murder (shooting) in Brgy. Barit, Ganassi, Lanao del Sur",21,4,2015,153600000,153609000,-99,-98,4,2031,-98,124.0872299,7.812170175,2,9
"Murder (shooting) in Brgy. Bato, Lamitan City, Basilan",2,4,2015,150700000,-99,150702000,16,6,901,-98,122.1403079,6.671018915,2,9
"Murder (shooting) in Brgy. Baungis,  Lantawan, Basilan",12,4,2015,150700000,150703000,-99,16,6,2031,-98,121.8653348,6.622567588,5,9
"Murder (shooting) in Brgy. Biasong, Picong, Lanao del Sur",20,4,2015,153600000,153635000,-99,-98,6,2031,3006,123.9174939,7.710248304,3,3
"Murder (shooting) in Brgy. Bongo Island, Parang, Maguindanao",26,12,2015,153800000,153811000,-99,16,6,2031,-98,124.0348039,7.333512712,2,9
"Murder (shooting) in Brgy. Buntongun, Wao, Lanao del Sur",8,4,2015,153600000,153630000,-99,-98,6,901,-98,124.6954554,7.723536764,2,9
"Murder (shooting) in Brgy. Campo Muslim, Malabang, Lanao del Sur",8,4,2015,153600000,153615000,-99,16,6,901,3005,124.0726747,7.593354647,2,3
"Murder (shooting) in Brgy. Campong Talao, Tugaya, Lanao del Sur",23,4,2015,153600000,153629000,-99,16,6,2031,-98,124.1506885,7.911537297,3,9
"Murder (shooting) in Brgy. Dilausan, Balindong, Lanao del Sur",22,9,2015,153600000,153603000,-99,-98,6,2031,-98,124.1986321,7.915559124,2,9
"Murder (shooting) in Brgy. Dinaigan, Tubaran, Lanao del Sur",12,4,2015,153600000,153628000,-99,24,5,2031,-98,124.1570006,7.720775007,2,9
"Murder (shooting) in Brgy. Duguduban, Marawi City, Lanao del Sur",30,4,2015,153600000,-99,153617000,16,6,2031,-98,124.2970072,8.004547251,4,9
"Murder (shooting) in Brgy. Inoma, Calanogas, Lanao del Sur",10,4,2015,153600000,153632000,-99,-98,6,2031,3006,124.0806862,7.709885493,3,3
"Murder (shooting) in Brgy. Labu-labu, Shariff Aguak, Maguindanao",24,12,2015,153800000,153808000,-99,16,-98,2031,-98,124.4456759,6.849880741,2,9
"Murder (shooting) in Brgy. Lumbac Dilausan, Lumbaca-Unayan, Lanao del Sur",19,4,2015,153600000,153641000,-99,-98,6,2031,3005,124.1943949,7.750517402,5,3
"Murder (shooting) in Brgy. Maganda, Lamitan City, Basilan",2,4,2015,150700000,-99,150702000,16,6,901,-98,122.1399439,6.657121462,2,9
"Murder (shooting) in Brgy. Maladi, Picong, Lanao del Sur",27,3,2015,153600000,153635000,-99,-98,6,901,-98,123.9662377,7.683694351,2,9
"Murder (shooting) in Brgy. Malungun, Maguing, Lanao del Sur",17,4,2015,153600000,153634000,-99,-98,4,2031,-98,124.3745409,7.898487703,2,9
"Murder (Shooting) in Brgy. Mangal,  Sumisip, Basilan",11,4,2015,150700000,150705000,-99,16,6,901,-98,121.9615032,6.415981371,2,9
"Murder (shooting) in Brgy. Milaya, Wao, Lanao del Sur",7,4,2015,153600000,153630000,-99,-98,6,901,-98,124.814877,7.562424616,2,9
"Murder (shooting) in Brgy. Norhaya Village, Marawi City, Lanao del Sur",7,4,2015,153600000,-99,153617000,16,6,2031,-98,124.2948364,8.00117878,2,9
"Murder (shooting) in Brgy. Pagalamatan, Tubaran, Lanao del Sur",16,2,2015,153600000,153628000,-99,-98,6,2031,-98,124.1891197,7.730390925,2,9
"Murder (shooting) in Brgy. Pagalongan, Calanogas, Lanao del Sur",12,2,2015,153600000,153632000,-99,-98,6,2031,-98,124.0712178,7.717726651,2,9
"Murder (shooting) in Brgy. Panggao Saduc, Marawi City, Lanao del Sur",26,2,2015,153600000,-99,153617000,-98,6,2031,-98,124.2889777,8.007526259,3,9
"Murder (shooting) in Brgy. Pantar, Lumbatan, Lanao del Sur",11,2,2015,153600000,153612000,-99,-98,6,2031,-98,124.2275182,7.775692192,3,9
"Murder (shooting) in Brgy. Park Area, Wao, Lanao del Sur",30,9,2015,153600000,153630000,-99,-98,6,2031,-98,124.6771485,7.695580328,4,9
"Murder (shooting) in Brgy. Raya Madaya 1, Marawi City, Lanao del Sur",8,4,2015,153600000,-99,153617000,14,6,2031,1007,124.2893199,7.999955623,2,1
"Murder (shooting) in Brgy. Sabala Manao,  Marawi City, Lanao del Sur",9,2,2015,153600000,-99,153617000,16,6,2031,-98,124.2913446,7.997397189,7,9
"Murder (Shooting) in Brgy. Tipo-Tipo Proper, Tipo-Tipo  Basilan",2,12,2015,150700000,150706000,-99,16,6,2031,-98,122.1325805,6.503166405,2,9
"Murder (shooting) in Brgy. Tolali, Marawi City, Lanao del Sur",29,4,2015,153600000,-99,153617000,28,6,2031,3006,124.3010483,8.007495467,4,3
"Murder (shooting) in Brgy. Tuburan Proper, Hadji Mohammad Ajul, Basilan",8,12,2015,150700000,150710000,-99,16,6,2031,-98,122.275064,6.636416236,3,9
"Murder (shooting) in Datu Salibo, Maguindanao",1,12,2015,153800000,153836000,-99,16,6,2031,-98,124.4530968,6.9122227,2,9
"Murder (stabbing) in Brgy. Badak, Datu Odin Sinsuat, Maguindanao",17,4,2015,153800000,153807000,-99,16,6,906,-98,124.117634,7.128752996,2,9
"Murder and arson in Brgy. Matampay, Marantao, Lanao del Sur",1,12,2017,153600000,153616000,-99,31,6,901,7004,124.250787,7.986537935,7,7
"Murder and attempted murder in Brgy. Mananti, Luuk, Sulu",30,7,2017,156600000,156604000,-99,16,-98,901,-98,121.3522613,5.927756641,6,9
"Murder and carjacking in Brgy. Banggolo Poblacion, Marawi City, Lanao del Sur",11,2,2017,153600000,-99,153617000,16,6,2031,1008,124.2909603,8.001108902,3,1
"Murder and frustrated murder (shooting) in Brgy. Panggao Saduc, Marawi City, Lanao del Sur",13,4,2015,153600000,-99,153617000,16,6,2031,-98,124.2889777,8.007526259,3,9
"Murder and frustrated murder in Brgy. Alat, Jolo, Sulu",4,8,2016,156600000,156602000,-99,16,6,901,-98,120.9971111,6.047975815,3,9
"Murder and frustrated murder in Brgy. Batu-Batu, Panglima Sugala, Tawi-Tawi",7,11,2016,157000000,157001000,-99,16,6,901,-98,119.8830199,5.091288917,4,9
"Murder and frustrated murder in Brgy. Capual Island, Omar, Sulu",1,8,2016,156600000,156619000,-99,16,6,901,-98,121.415894,6.039500822,4,9
"Murder and frustrated murder in Brgy. Kulamboh, Talipao, Sulu",12,8,2016,156600000,156613000,-99,16,6,901,-98,121.1204235,5.999286442,8,9
"Murder and frustrated murder in Brgy. Latih, Patikul, Sulu",11,10,2017,156600000,156611000,-99,24,6,2031,-98,121.0333653,6.038444204,5,9
"Murder and frustrated murder in Brgy. Mirab, Upi, Maguindanao",7,1,2015,153800000,153815000,-99,16,6,901,-98,124.1856261,7.035460521,5,9
"Murder and frustrated murder in Don Rufino Alonzo St.,  Brgy. Poblacion, Cotabato City",15,1,2017,-99,-99,129804000,16,6,901,3005,124.2574471,7.220192174,4,3
"Murder and frustrated murder in P1, Brgy. Kilikili West, Wao, Lanao del Sur",14,1,2015,153600000,153630000,-99,24,6,2031,-98,124.6976273,7.742428158,3,9
"Murder and frustrated murders in Brgy. Matampay, Marawi City, Lanao del Sur",6,4,2015,153600000,-99,153617000,2,6,901,-98,124.2839997,8.012880454,4,9
"Murder and physical injuries in Purok Penin, Rosales St., Brgy. Rosary Heights 6, Cotabato City",31,7,2017,-99,-99,129804000,16,6,2032,-98,124.2466,7.203677434,4,9
"Murder and physical injuries in Rosary Heights 8, Cotabato City",5,9,2012,-99,-99,129804000,-98,9,2031,-98,124.2444764,7.191224882,4,9
"Murder and physical injury in Brgy. Bagua 2, Cotabato City ",23,9,2017,-99,-99,129804000,16,6,2031,3006,124.2298761,7.215875267,9,3
"Murder and physical injury in Brgy. Datu Mama sa Buayan, Cotabato City",10,1,2014,-99,-99,129804000,16,6,901,-98,124.2345717,7.180797291,4,9
"Murder and physical injury in Brgy. Gaunan, Rajah Buayan, Maguindanao",31,12,2015,153800000,153829000,-99,16,6,2031,3006,124.5663873,6.90047476,3,3
"Murder and physical injury in Brgy. Kadingilan, Wao, Lanao del Sur ",28,6,2017,153600000,153630000,-99,16,6,2031,3005,124.646844,7.618046888,5,3
"Murder and physical injury in Brgy. Kamasi, Ampatuan, Maguindanao",26,9,2017,153800000,153801000,-99,-98,-98,2031,-98,124.4981006,6.739644764,4,9
"Murder and physical injury in Brgy. Malaigang, Wao, Lanao del Sur",16,5,2019,153600000,153630000,-99,24,6,906,1002,124.7893962,7.62494231,3,1
"Murder and physical injury in Brgy. Maliwanag, Tampalan, Lanao del Sur ",11,10,2017,153600000,153626000,-99,31,6,2031,8008,124.3303272,7.874283026,3,8
"Murder and physical injury in Brgy. Mantapoli, Marantao, Lanao del Sur ",18,9,2017,153600000,153616000,-99,16,6,2031,-98,124.2576789,7.97934296,3,9
"Murder and physical injury in Brgy. Pagalamatan, Binidayan, Lanao del Sur ",1,7,2017,153600000,153605000,-99,16,6,2031,8008,124.1677185,7.792890597,3,8
"Murder and physical injury in Brgy. Pindolonan, Bacolod-Kalawi, Lanao del Sur",17,5,2019,153600000,153601000,-99,16,6,2031,3006,124.1247029,7.863049664,7,3
"Murder and physical injury in Brgy. Ragayan (Rungayan), Maguing, Lanao del Sur ",18,7,2017,153600000,153634000,-99,16,6,2031,8008,124.5301017,7.891987472,4,8
"Murder and physical injury in Brgy. Rosary Heights 7, Cotabato City",1,11,2016,-99,-99,129804000,16,6,901,-98,124.2450308,7.199083664,4,9
"Murder and physical injury in Brgy. Sapakan, Mamasapano, Maguindanao",27,7,2017,153800000,153820000,-99,31,6,901,3006,124.5347662,6.913798879,6,3
"Murder and physical injury in Brgy. Upper Itil, Balabagan, Lanao del Sur",16,2,2017,153600000,153602000,-99,16,-98,901,3005,124.1733803,7.542908008,5,3
"Murder and physical injury in Gonzalo Javier St., Brgy. Rosary Heights 7, Cotabato City",1,11,2016,-99,-99,129804000,16,6,901,-98,124.2450308,7.199083664,3,9
"Murder and physical injury in Lugay-lugay, Brgy. Bagua 1, Cotabato City ",16,4,2017,-99,-99,129804000,16,6,901,-98,124.2304134,7.223362251,4,9
"Murder and physical injury in Ramon Rabago Extension, Brgy. Bagua 2, Cotabato City ",6,2,2017,-99,-99,129804000,16,6,901,-98,124.2298761,7.215875267,4,9
"Murder and violation of Republic Act 10591 (firearms) in Brgy. Montay Montay, Bongao, Tawi-Tawi",17,12,2017,157000000,157002000,-99,2,6,2031,8008,119.8313398,5.088234991,2,8
Murder and violation of Republic Act 10591 (firearms) in Cotabato City,13,3,2013,-99,-99,129804000,16,2,901,2013,124.2310439,7.2046668,1,2
"Murder in  Brgy. Landasan (Sarmiento), Parang, Maguindanao ",9,5,2017,153800000,153811000,-99,16,6,901,-98,124.2470118,7.335805166,3,9
"Murder in  Brgy. Pababag, Bongao, Tawi-Tawi",30,8,2017,157000000,157002000,-99,16,6,901,-98,119.7980605,5.034826757,3,9
"Murder in Almonte Extension, Brgy. Poblacion 2, Cotabato City",17,11,2016,-99,-99,129804000,16,6,2031,-98,124.2559866,7.217648808,2,9
"Murder in Almonte Extension, Brgy. Poblacion 4, Cotabato City",1,6,2016,-99,-99,129804000,16,6,901,-98,124.2523705,7.219064067,2,9
"Murder in Amado Papa St., Brgy. Rosary Heights 10, Cotabato City",1,4,2016,-99,-99,129804000,16,6,901,-98,124.2353465,7.201788887,2,9
"Murder in Amado Papa St., Brgy. Rosary Heights 10, Cotabato City",25,7,2017,-99,-99,129804000,16,6,901,-98,124.2353465,7.201788887,2,9
"Murder in Anacleto Badoy St., Brgy. Poblacion 2, Cotabato City",9,11,2016,-99,-99,129804000,16,6,901,-98,124.2559866,7.217648808,2,9
"Murder in Bagsakan Area, Brgy. Poblacion, Cotabato City ",30,12,2016,-99,-99,129804000,16,6,2031,-98,124.2574471,7.220192174,2,9
"Murder in Block. 19, Brgy. Rosary Heights 8, Cotabato City ",11,4,2016,-99,-99,129804000,16,6,901,-98,124.2444764,7.191224882,2,9
"Murder in Bongao, Tawi-Tawi",19,4,2017,157000000,157002000,-99,16,2,906,7015,119.811363,5.09469,2,7
"Murder in Bonifacio St., Brgy. Poblacion 6, Cotabato City",6,9,2016,-99,-99,129804000,16,6,901,-98,124.2457088,7.224224435,6,9
"Murder in Brgy, Upper Dilag, Pandag, Maguindanao",9,9,2019,153800000,153833000,-99,16,6,2031,-98,124.7881422,6.749228771,3,9
"Murder in Brgy.  Asturias, Jolo, Sulu",9,7,2017,156600000,156602000,-99,-98,9,901,-98,121.0005716,6.046310178,3,9
"Murder in Brgy. Abaga, Madalum, Lanao del Sur",30,9,2015,153600000,153613000,-99,-98,6,2031,-98,124.1061548,7.871489828,3,9
"Murder in Brgy. Abong-Abong, Maluso, Basilan",20,9,2017,150700000,150704000,-99,16,6,2031,-98,121.9149628,6.479323796,3,9
"Murder in Brgy. Abong-Abong, Maluso, Basilan",7,12,2018,150700000,150704000,-99,16,4,906,-98,121.9149628,6.479323796,2,9
"Murder in Brgy. Adaon, Datu Anggal Midtimbang, Maguindanao",27,7,2019,153800000,153831000,-99,-98,9,901,-98,124.352347,7.001420397,2,9
"Murder in Brgy. Adaon, Datu Anggal Midtimbang, Maguindanao",16,3,2020,153800000,153831000,-99,31,6,2031,-98,124.352347,7.001420397,4,9
"Murder in Brgy. Adjid, Indanan, Sulu",17,3,2018,156600000,156601000,-99,-98,9,901,3006,121.0094577,6.003227102,2,3
"Murder in Brgy. Adjid, Indanan, Sulu",18,1,2020,156600000,156601000,-99,16,6,2031,8008,121.0094577,6.003227102,2,8
"Murder in Brgy. Aguada, Isabela City",4,4,2018,-99,-99,99701000,14,6,901,8008,121.9684714,6.697143855,3,8
"Murder in Brgy. Aguada, Isabela City",3,12,2018,-99,-99,99701000,16,6,2031,3005,121.9684714,6.697143855,2,3
"Murder in Brgy. Aguada, Isabela City ",30,1,2017,-99,-99,99701000,-98,9,901,-98,121.9684714,6.697143855,2,9
"Murder in Brgy. Alamada, Sultan Kudarat, Maguindanao",14,5,2015,153800000,153812000,-99,16,6,901,-98,124.3609793,7.249607528,2,9
"Murder in Brgy. Alamada, Sultan Kudarat, Maguindanao",4,6,2017,153800000,153812000,-99,-98,9,901,-98,124.3609793,7.249607528,2,9
"Murder in Brgy. Alat, Jolo, Sulu",11,1,2016,156600000,156602000,-99,16,6,2031,3007,120.9971111,6.047975815,2,3
"Murder in Brgy. Alat, Jolo, Sulu",28,4,2017,156600000,156602000,-99,16,-98,2031,-98,120.9971111,6.047975815,3,9
"Murder in Brgy. Alat, Jolo, Sulu",29,1,2018,156600000,156602000,-99,16,6,2031,-98,120.9971111,6.047975815,3,9
"Murder in Brgy. Alat, Jolo, Sulu",30,5,2018,156600000,156602000,-99,16,6,2031,8008,120.9971111,6.047975815,2,8
"Murder in Brgy. Alat, Jolo, Sulu",18,6,2019,156600000,156602000,-99,16,6,2031,-98,120.9971111,6.047975815,3,9
"Murder in Brgy. Alat, Jolo, Sulu",17,10,2019,156600000,156602000,-99,16,6,2031,5011,120.9971111,6.047975815,5,5
"Murder in Brgy. Alat, Jolo, Sulu",8,1,2020,156600000,156602000,-99,16,6,2032,8008,120.9971111,6.047975815,3,8
"Murder in Brgy. Alat, Jolo, Sulu ",26,10,2018,156600000,156602000,-99,16,6,2031,-98,120.9971111,6.047975815,2,9
"Murder in Brgy. Alip (Pob.), Datu Paglas, Maguindanao",27,3,2018,153800000,153805000,-99,16,6,901,8008,124.8572348,6.752755577,2,8
"Murder in Brgy. Alip (Pob.), Datu Paglas, Maguindanao",8,5,2020,153800000,153805000,-99,16,6,2031,3015,124.8572348,6.752755577,3,3
"Murder in Brgy. Alip Poblacion, Datu Paglas, Maguindanao",25,7,2018,153800000,153805000,-99,16,6,2031,-98,124.8572348,6.752755577,2,9
"Murder in Brgy. Alip, Datu Paglas, Maguindanao",23,5,2016,153800000,153805000,-99,16,2,901,-98,124.8572348,6.752755577,1,9
"Murder in Brgy. Alip, Datu Paglas, Maguindanao",14,1,2020,153800000,153805000,-99,16,6,2031,3005,124.8572348,6.752755577,2,3
"Murder in Brgy. Alu Layag-Layag, Parang, Sulu",8,10,2019,156600000,156609000,-99,16,6,2031,8008,120.8837466,5.957698129,2,8
"Murder in Brgy. Ambolodto, Datu Odin Sinsuat, Maguindanao",14,8,2020,153800000,153807000,-99,16,9,901,-98,124.330013,7.058680619,2,9
"Murder in Brgy. Amoyong, Wao, Lanao del Sur",2,7,2020,153600000,153630000,-99,16,-98,901,-98,124.7967576,7.548867846,4,9
"Murder in Brgy. Ampao, Bacolod-Kalawi, Lanao del Sur",11,1,2019,153600000,153601000,-99,16,6,2031,-98,124.1392997,7.860807914,2,9
"Murder in Brgy. Angkayamat, Sultan sa Barongis, Maguindanao",7,2,2011,153800000,153813000,-99,10,6,901,-98,124.6903429,6.896865232,3,9
"Murder in Brgy. Angkayamat, Sultan sa Barongis, Maguindanao",13,12,2018,153800000,153813000,-99,2,6,2031,-98,124.6903429,6.896865232,2,9
"Murder in Brgy. Angkayamat, Sultan sa Barongis, Maguindanao",24,11,2020,153800000,153813000,-99,16,6,901,-98,124.6903429,6.896865232,3,9
"Murder in Brgy. Anuling, Patikul, Sulu",11,10,2020,156600000,156611000,-99,16,6,901,-98,121.0121398,6.024900034,3,9
"Murder in Brgy. Aratuc, Buldon, Maguindanao",5,5,2015,153800000,153802000,-99,16,6,901,-98,124.3659195,7.376934609,2,9
"Murder in Brgy. Aratuc, Buldon, Maguindanao",21,9,2019,153800000,153802000,-99,16,6,2031,3006,124.3659195,7.376934609,2,3
"Murder in Brgy. Asin, Old Panamao, Sulu",10,2,2018,156600000,156607000,-99,16,6,901,8008,121.2442466,5.928613849,2,8
"Murder in Brgy. Asturias, Jolo, Sulu",5,5,2017,156600000,156602000,-99,16,-98,2031,-98,121.0005716,6.046310178,3,9
"Murder in Brgy. Asturias, Jolo, Sulu",3,10,2017,156600000,156602000,-99,-98,6,2031,-98,121.0005716,6.046310178,2,9
"Murder in Brgy. Asturias, Jolo, Sulu",7,11,2017,156600000,156602000,-99,16,6,2031,8008,121.0005716,6.046310178,2,8
"Murder in Brgy. Asturias, Jolo, Sulu",17,7,2017,156600000,156602000,-99,16,6,901,-98,121.0005716,6.046310178,2,9
"Murder in Brgy. Asturias, Jolo, Sulu",29,3,2018,156600000,156602000,-99,16,6,2031,8008,121.0005716,6.046310178,2,8
"Murder in Brgy. Asturias, Jolo, Sulu",22,7,2019,156600000,156602000,-99,16,6,901,8008,121.0005716,6.046310178,2,8
"Murder in Brgy. Asturias, Jolo, Sulu ",31,10,2018,156600000,156602000,-99,16,6,2031,8008,121.0005716,6.046310178,2,8
"Murder in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",6,4,2015,153800000,153807000,-99,16,6,902,-98,124.2200147,7.149563294,2,9
"Murder in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",20,8,2015,153800000,153807000,-99,16,6,2031,-98,124.2200147,7.149563294,3,9
"Murder in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",3,3,2019,153800000,153807000,-99,2,6,2031,5017,124.2200147,7.149563294,2,5
"Murder in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",23,7,2019,153800000,153807000,-99,16,6,901,-98,124.2200147,7.149563294,2,9
"Murder in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",4,1,2020,153800000,153807000,-99,31,6,2031,7004,124.2200147,7.149563294,2,7
